model,accuracy,macro_f1,weighted_f1,p1_precision,p1_recall,fit_seconds
logistic_regression,0.8553333333333333,0.8316426083033295,0.8563463380594473,0.7089783281733746,0.9087301587301587,11.154
sgd_log_loss,0.843,0.813584376966348,0.8435964329034444,0.6930091185410334,0.9047619047619048,2.092
linear_svm,0.8531666666666666,0.8359805756212868,0.8538641820686849,0.7585034013605442,0.8849206349206349,3.905
